日期,收盘,
2014-04-23,1469.50 ,
2014-04-24,1473.00 ,
2014-04-25,1499.75 ,
2014-04-28,1506.00 ,
2014-04-29,1522.50 ,
2014-04-30,1530.00 ,
2014-05-01,1473.00 ,
2014-05-02,1481.25 ,
2014-05-05,1471.75 ,
2014-05-06,1463.00 ,
2014-05-07,1450.00 ,
2014-05-08,1474.00 ,
2014-05-09,1501.50 ,
2014-05-12,1485.50 ,
2014-05-13,1503.00 ,
2014-05-14,1497.50 ,
2014-05-15,1467.50 ,
2014-05-16,1464.00 ,
2014-05-19,1482.50 ,
2014-05-20,1468.00 ,
2014-05-21,1507.00 ,
2014-05-22,1517.00 ,
2014-05-23,1513.00 ,
2014-05-27,1488.00 ,
2014-05-28,1497.50 ,
2014-05-29,1498.50 ,
2014-05-30,1490.00 ,
2014-06-02,1499.00 ,
2014-06-03,1481.50 ,
2014-06-04,1481.00 ,
2014-06-05,1462.00 ,
2014-06-06,1458.00 ,
2014-06-09,1457.00 ,
2014-06-10,1461.50 ,
2014-06-11,1445.00 ,
2014-06-12,1415.50 ,
2014-06-13,1424.50 ,
2014-06-16,1421.50 ,
2014-06-17,1398.00 ,
2014-06-18,1409.00 ,
2014-06-19,1420.00 ,
2014-06-20,1418.00 ,
2014-06-23,1428.00 ,
2014-06-24,1413.00 ,
2014-06-25,1415.00 ,
2014-06-26,1435.50 ,
2014-06-27,1432.00 ,
2014-06-30,1401.50 ,
2014-07-01,1400.00 ,
2014-07-02,1393.50 ,
2014-07-03,1387.00 ,
2014-07-07,1363.50 ,
2014-07-08,1332.00 ,
2014-07-09,1337.00 ,
2014-07-10,1329.75 ,
2014-07-11,1297.00 ,
2014-07-14,1293.50 ,
2014-07-15,1180.00 ,
2014-07-16,1187.25 ,
2014-07-17,1171.00 ,
2014-07-18,1177.00 ,
2014-07-21,1173.00 ,
2014-07-22,1183.00 ,
2014-07-23,1202.00 ,
2014-07-24,1208.25 ,
2014-07-25,1211.00 ,
2014-07-28,1233.50 ,
2014-07-29,1226.00 ,
2014-07-30,1220.50 ,
2014-07-31,1227.00 ,
2014-08-01,1214.25 ,
2014-08-04,1231.75 ,
2014-08-05,1220.00 ,
2014-08-06,1237.50 ,
2014-08-07,1252.00 ,
2014-08-08,1285.00 ,
2014-08-11,1313.75 ,
2014-08-12,1292.00 ,
2014-08-13,1277.25 ,
2014-08-14,1291.00 ,
2014-08-15,1102.00 ,
2014-08-18,1118.50 ,
2014-08-19,1119.50 ,
2014-08-20,1119.50 ,
2014-08-21,1136.50 ,
2014-08-22,1169.50 ,
2014-08-25,1125.00 ,
2014-08-26,1088.00 ,
2014-08-27,1090.00 ,
2014-08-28,1074.50 ,
2014-08-29,1090.00 ,
2014-09-02,1097.50 ,
2014-09-03,1073.00 ,
2014-09-04,1064.00 ,
2014-09-05,1085.00 ,
2014-09-08,1092.00 ,
2014-09-09,1076.00 ,
2014-09-10,1071.00 ,
2014-09-11,1061.25 ,
2014-09-12,1091.00 ,
2014-09-15,988.50 ,
2014-09-16,981.50 ,
2014-09-17,983.00 ,
2014-09-18,971.50 ,
2014-09-19,958.00 ,
2014-09-22,939.00 ,
